Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
KDC,4/6/2020,14.90,12810.00,0.0205,-0.9243,-0.1791,-0.2116,-0.2875,-0.3140,-0.6426,0.00,0.00,0.00,0.0000,0.0000,-0.0683,-0.2033,0.0000,-0.1229,-0.2899,0,0,7.44,0.00,0,1,14.26,16.99,14.32,20.98,17.00,16.45,16.00,15.55,14.91,15.99,18.40,18.70,0,
LCG,4/6/2020,4.50,241190.00,0.0664,-0.2756,-0.3333,-0.3680,-0.4649,-0.5269,-0.8441,0.00,0.00,0.00,1.0000,0.0000,-0.0732,-0.4196,0.0000,-0.1745,-0.4835,0,0,24.14,0.00,1,1,3.55,5.45,3.76,8.71,5.81,5.39,5.05,4.72,4.23,4.86,6.98,7.75,0,
LAS,4/6/2020,5.30,200.00,0.0192,-0.9919,-0.0702,-0.1167,-0.2319,-0.3117,-0.7222,0.00,0.00,0.00,1.0000,0.0000,-0.0112,-0.1791,1.0000,-0.0707,-0.1803,0,0,25.49,0.00,1,1,4.91,5.70,5.01,6.47,5.49,5.36,5.25,5.14,4.99,5.36,5.97,6.46,0,/ndoji_standard
IMP,4/6/2020,46.20,16130.00,0.0429,-0.8339,-0.2451,-0.2548,-0.2548,-0.2548,-0.3466,0.00,0.00,0.00,1.0000,0.0000,-0.0625,-0.0819,1.0000,-0.1545,-0.2762,0,0,22.34,10.29,1,1,38.82,54.64,40.63,63.83,55.46,52.34,49.83,47.31,43.72,49.28,52.45,50.32,0,
MBS,4/6/2020,9.30,7700.00,0.0109,-0.8974,-0.1389,-0.2580,-0.3378,-0.3502,-0.5371,1.00,0.00,0.00,2.0000,0.0000,0.0322,-0.2612,1.0000,-0.0251,-0.3537,0,0,75.27,1.91,1,1,8.15,9.54,7.96,14.39,9.96,9.57,9.25,8.93,8.48,9.01,11.90,12.59,3,
MCH,4/6/2020,67.00,5600.00,0.0686,-0.6659,0.0000,-0.0360,-0.1849,-0.2225,-0.2672,2.00,1.00,0.00,2.0000,1.0000,0.1312,-0.0776,0.0000,0.0418,-0.1119,4,0,95.88,9.26,1,1,52.18,64.31,56.01,75.44,63.22,60.89,59.00,57.11,54.42,59.23,68.35,72.63,1,
MPC,4/6/2020,18.80,9400.00,0.0053,-0.8693,-0.1336,-0.1826,-0.1826,-0.4519,-0.6273,0.00,0.00,0.00,1.0000,1.0000,-0.0129,-0.1994,2.0000,-0.0888,-0.1790,0,0,24.54,5.13,1,1,17.27,20.63,17.69,22.90,20.26,19.49,18.87,18.25,17.36,19.05,19.95,23.48,0,/ndoji_standard
MWG,4/6/2020,69.90,409520.00,0.0688,-0.7297,-0.3220,-0.3691,-0.4421,-0.4539,-0.4539,0.00,0.00,0.00,1.0000,0.0000,-0.0568,-0.3612,0.0000,-0.1552,-0.4908,0,0,28.19,0.00,1,1,56.56,82.74,58.37,137.27,88.54,82.38,77.40,72.42,65.33,74.11,104.54,109.42,0,/ndoji_standard
OIL,4/6/2020,6.50,62100.00,0.0317,-0.8617,-0.0845,-0.1096,-0.3689,-0.4715,-0.7314,1.00,1.00,0.00,1.0000,0.0000,0.0244,-0.3171,1.0000,-0.0236,-0.2195,0,0,56.25,2.41,1,1,6.00,6.66,5.85,8.33,6.59,6.40,6.25,6.10,5.88,6.34,7.91,9.52,0,/ndoji_standard
NVL,4/6/2020,51.90,31020.00,0.0000,-0.9476,-0.0389,-0.0732,-0.1277,-0.1891,-0.3346,0.00,0.00,0.00,2.0000,1.0000,-0.0021,-0.1027,29.0000,-0.0104,-0.0917,0,0,76.54,5.56,1,1,50.94,52.45,50.66,57.14,52.84,52.13,51.55,50.97,50.15,52.01,55.01,57.84,0,/ndoji_standard
NKG,4/6/2020,5.09,82570.00,0.0517,-0.9150,-0.3716,-0.4216,-0.4859,-0.4859,-0.8391,0.00,0.00,0.00,1.0000,0.0000,-0.0938,-0.2288,0.0000,-0.1965,-0.5283,0,0,14.67,0.00,1,1,4.04,6.33,4.18,10.79,6.88,6.40,6.02,5.63,5.08,5.62,7.12,6.60,5,
MSN,4/6/2020,54.80,455360.00,0.0478,-0.8469,0.0074,0.0074,-0.2865,-0.3598,-0.5218,2.00,0.00,0.00,2.0000,1.0000,0.0949,-0.1864,0.0000,0.0361,-0.0527,4,0,93.33,8.70,1,1,46.69,52.89,46.69,57.85,54.35,52.83,51.60,50.37,48.63,50.05,56.45,67.36,1,
MBB,4/6/2020,15.55,2389600.00,0.0542,-0.6571,-0.2470,-0.2916,-0.3383,-0.3397,-0.4422,0.00,0.00,0.00,1.0000,0.0000,-0.0254,-0.2552,0.0000,-0.0950,-0.3779,0,0,33.36,0.00,1,1,13.28,17.18,13.84,25.00,18.31,17.32,16.52,15.73,14.59,15.95,20.43,20.88,0,
