Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
IDI,4/1/2020,2.90,897260.00,0.0175,-0.0232,-0.3570,-0.4212,-0.4708,-0.5276,-0.7354,0.00,0.00,0.00,0.0000,0.0000,-0.2202,-0.4336,1.0000,-0.3157,-0.4891,1,0,0.00,0.00,0,1,2.83,4.24,3.07,5.68,4.14,3.86,3.64,3.42,3.10,3.72,4.67,5.12,0,Piercing_pattern
LDG,4/1/2020,4.16,18723660.00,0.0024,4.4315,-0.3971,-0.4800,-0.6112,-0.6444,-0.7667,0.00,0.00,0.00,0.0000,0.0000,-0.2781,-0.5096,1.0000,-0.4143,-0.5502,1,0,0.00,4.65,0,1,3.94,7.10,4.30,9.25,6.18,5.74,5.38,5.02,4.51,5.76,7.63,8.48,0,
KBC,4/1/2020,11.75,1133120.00,0.0586,-0.4865,-0.2114,-0.2320,-0.2813,-0.2813,-0.8956,0.00,0.00,0.00,1.0000,0.0000,-0.0257,-0.1916,5.0000,-0.0704,-0.3194,0,0,27.67,0.00,1,1,10.16,12.64,10.91,17.26,13.82,13.09,12.50,11.91,11.07,12.06,14.40,14.53,5,
KSB,4/1/2020,12.35,523710.00,0.0123,-0.4850,-0.4034,-0.4034,-0.4034,-0.5040,-0.7548,0.00,0.00,0.00,1.0000,1.0000,-0.1823,-0.3642,3.0000,-0.2614,-0.4071,0,0,2.69,10.43,1,1,11.01,16.72,11.91,20.83,18.84,17.41,16.25,15.09,13.45,15.10,16.74,19.42,0,
KDH,4/1/2020,18.40,256170.00,-0.0054,-0.0962,-0.2581,-0.2896,-0.3235,-0.3235,-0.3833,0.00,0.00,0.00,0.0000,0.0000,-0.1173,-0.2504,2.0000,-0.1611,-0.3670,0,0,0.00,0.00,0,1,17.81,21.93,18.61,29.07,23.12,22.04,21.17,20.31,19.07,20.84,24.89,24.55,0,
KDC,4/1/2020,15.00,208600.00,0.0417,0.3053,-0.1803,-0.2188,-0.2843,-0.3094,-0.6402,0.00,0.00,0.00,0.0000,0.0000,-0.0820,-0.1994,1.0000,-0.1317,-0.2835,0,0,0.00,0.00,0,1,14.52,17.28,15.00,20.94,17.33,16.73,16.25,15.77,15.08,16.34,18.52,18.74,0,
IMP,4/1/2020,43.05,14150.00,0.0153,-0.8649,-0.2966,-0.3056,-0.3056,-0.3056,-0.3912,0.00,0.00,0.00,1.0000,1.0000,-0.1534,-0.1450,3.0000,-0.2534,-0.3261,0,0,4.72,29.14,1,1,38.45,57.66,40.76,63.88,56.99,53.58,50.83,48.07,44.15,50.85,52.52,50.35,0,
LCG,4/1/2020,3.95,273010.00,0.0676,-0.1296,-0.4148,-0.4740,-0.5303,-0.5847,-0.8632,0.00,0.00,0.00,0.0000,0.0000,-0.2220,-0.4934,1.0000,-0.3195,-0.5635,0,0,0.74,0.00,0,1,3.49,5.80,3.91,9.05,6.07,5.60,5.22,4.85,4.31,5.08,7.06,7.80,0,
MBS,4/1/2020,9.00,46800.00,0.0714,-0.4216,-0.1743,-0.2920,-0.3592,-0.3711,-0.5520,0.00,0.00,0.00,1.0000,0.0000,-0.0185,-0.2875,1.0000,-0.0558,-0.3889,0,0,19.09,0.00,1,1,8.15,9.53,8.16,14.73,10.65,10.12,9.70,9.28,8.67,9.17,11.97,12.63,5,
LAS,4/1/2020,5.00,50200.00,0.0000,0.9892,-0.1379,-0.1935,-0.2754,-0.3506,-0.7379,0.00,0.00,0.00,0.0000,0.0000,-0.0758,-0.2281,2.0000,-0.1305,-0.2428,0,0,0.00,0.00,0,1,4.92,5.75,5.00,6.60,5.56,5.42,5.30,5.18,5.01,5.41,5.99,6.48,0,
MCH,4/1/2020,58.50,21030.00,0.0263,0.3322,-0.1269,-0.1583,-0.2883,-0.3211,-0.3602,0.00,0.00,0.00,1.0000,0.0000,-0.0159,-0.1968,6.0000,-0.0257,-0.2369,0,0,47.16,0.00,0,1,54.50,60.04,54.97,76.66,63.61,61.20,59.25,57.30,54.53,59.44,68.52,72.84,0,
MWG,4/1/2020,61.20,1604700.00,0.0390,0.0835,-0.4226,-0.4866,-0.5127,-0.5219,-0.5219,0.00,0.00,0.00,0.0000,0.0000,-0.2131,-0.4417,2.0000,-0.2882,-0.5588,0,0,1.97,0.00,0,1,56.65,85.98,62.19,138.71,94.73,87.39,81.45,75.51,67.06,77.78,105.69,109.63,0,
MPC,4/1/2020,18.00,20510.00,0.0169,-0.7258,-0.2035,-0.2174,-0.2174,-0.4753,-0.6432,0.00,0.00,0.00,0.0000,1.0000,-0.0710,-0.2370,3.0000,-0.1286,-0.2158,0,0,6.60,16.06,0,1,17.20,20.66,17.67,22.95,21.33,20.35,19.57,18.78,17.66,19.38,19.99,23.59,0,
NKG,4/1/2020,4.62,922390.00,0.0500,-0.0898,-0.4400,-0.5137,-0.5333,-0.5333,-0.8540,0.00,0.00,0.00,0.0000,0.0000,-0.2220,-0.3013,2.0000,-0.3138,-0.5689,0,0,0.72,3.98,0,1,4.00,6.73,4.45,10.72,7.41,6.83,6.37,5.90,5.23,5.94,7.15,6.61,0,
NVL,4/1/2020,51.80,462500.00,-0.0019,-0.2664,-0.0407,-0.0750,-0.1294,-0.1906,-0.3359,0.00,0.00,0.00,1.0000,0.0000,-0.0079,-0.1052,27.0000,-0.0217,-0.1058,0,0,62.66,1.79,1,1,50.71,52.95,50.66,57.93,53.23,52.44,51.80,51.16,50.26,52.22,55.14,57.89,3,/ndoji_standard
OIL,4/1/2020,6.10,338939.00,0.0167,-0.2590,-0.1408,-0.2469,-0.4135,-0.5041,-0.7479,0.00,0.00,0.00,0.0000,0.0000,-0.0484,-0.3629,1.0000,-0.0798,-0.2858,1,0,6.85,2.41,0,1,5.98,6.63,5.83,8.54,6.75,6.53,6.35,6.17,5.92,6.41,7.98,9.57,5,
MBB,4/1/2020,14.25,6406330.00,0.0517,-0.0859,-0.3133,-0.3638,-0.3949,-0.3949,-0.4888,0.00,0.00,0.00,0.0000,0.0000,-0.1366,-0.3187,2.0000,-0.1976,-0.4321,0,0,3.43,0.00,0,1,13.20,17.76,14.39,25.09,19.11,17.97,17.05,16.13,14.82,16.51,20.60,20.92,0,
MSN,4/1/2020,49.20,1725880.00,0.0041,-0.4235,-0.0956,-0.0956,-0.3594,-0.4252,-0.5707,0.00,0.00,0.00,1.0000,0.0000,-0.0153,-0.2727,14.0000,-0.0133,-0.1566,3,0,41.17,4.42,1,1,48.75,49.86,46.07,58.34,54.35,52.83,51.60,50.37,48.63,49.96,56.90,67.65,0,
PLX,4/1/2020,38.90,595360.00,0.0658,0.1426,-0.1854,-0.2849,-0.3182,-0.3792,-0.5193,1.00,1.00,0.00,1.0000,0.0000,0.0048,-0.2819,1.0000,-0.0286,-0.3598,0,0,41.88,0.00,1,1,33.96,40.05,34.44,60.76,44.78,42.64,40.92,39.19,36.74,38.71,49.90,54.17,5,
NLG,4/1/2020,20.80,704420.00,0.0400,-0.0751,-0.2076,-0.2598,-0.2613,-0.2865,-0.3841,0.00,0.00,0.00,1.0000,0.0000,-0.0453,-0.2220,4.0000,-0.1083,-0.3131,0,0,31.36,0.00,0,1,18.16,23.33,20.09,30.28,24.42,23.14,22.10,21.06,19.58,21.79,25.86,26.73,5,
POW,4/1/2020,7.36,2786690.00,0.0381,-0.2224,-0.2784,-0.3369,-0.4647,-0.5386,-0.5865,0.00,0.00,0.00,0.0000,0.0000,-0.1289,-0.4000,2.0000,-0.2097,-0.4189,0,0,2.84,0.00,0,1,6.79,9.31,7.37,12.67,9.56,9.04,8.63,8.21,7.61,8.45,11.03,12.27,0,
NNC,4/1/2020,41.30,18960.00,-0.0236,0.8293,-0.1657,-0.1657,-0.1657,-0.1721,-0.1721,0.00,0.00,0.00,1.0000,0.0000,-0.0836,-0.1293,3.0000,-0.1248,-0.2083,0,0,4.25,0.00,0,1,40.54,47.19,42.53,52.17,47.31,45.95,44.85,43.75,42.19,45.07,47.63,47.43,0,
PDR,4/1/2020,24.90,475220.00,0.0000,0.1883,-0.0460,-0.0604,-0.0752,-0.0752,-0.1147,0.00,0.00,0.00,0.0000,0.0000,-0.0158,-0.0186,17.0000,-0.0270,-0.0688,1,0,4.76,6.00,0,1,24.69,25.59,24.79,26.74,25.50,25.13,24.83,24.52,24.10,25.30,25.63,25.37,3,/ndoji_standard
