Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
LDG,4/10/2020,4.80,2492420.00,-0.0264,-0.2967,-0.2615,-0.3064,-0.5224,-0.5897,-0.7308,0.00,0.00,0.00,1.0000,0.0000,-0.0805,-0.4262,1.0000,-0.1927,-0.4597,0,0,30.39,2.73,1,1,3.82,5.95,4.18,8.88,5.80,5.43,5.13,4.83,4.40,5.22,7.30,8.37,0,
KBC,4/10/2020,11.95,1619680.00,0.0042,-0.1512,-0.0478,-0.2033,-0.2691,-0.2691,-0.8938,1.00,0.00,0.00,2.0000,0.0000,0.0364,-0.1755,5.0000,-0.0518,-0.3017,0,0,83.78,11.38,0,1,10.24,12.60,10.61,17.11,11.99,11.61,11.30,10.99,10.56,11.53,14.25,14.49,0,
KSB,4/10/2020,14.55,981730.00,0.0393,0.1472,-0.1101,-0.2971,-0.2971,-0.4157,-0.7112,1.00,0.00,0.00,1.0000,1.0000,0.0619,-0.2407,0.0000,-0.0087,-0.2939,3,0,67.62,6.51,1,1,11.62,14.68,11.88,20.60,15.17,14.44,13.85,13.26,12.42,13.70,16.47,19.16,2,
LCG,4/10/2020,4.66,247150.00,-0.0127,-0.3662,-0.1796,-0.3455,-0.4459,-0.5100,-0.8386,1.00,0.00,0.00,1.0000,0.0000,0.0207,-0.3922,3.0000,-0.0625,-0.4640,0,0,65.38,4.91,1,1,3.75,4.97,3.80,8.69,5.13,4.84,4.61,4.38,4.04,4.57,6.84,7.67,3,
KDH,4/10/2020,19.90,198810.00,-0.0050,-0.4853,-0.0808,-0.2134,-0.2657,-0.2684,-0.3330,1.00,0.00,0.00,1.0000,0.0000,0.0165,-0.1842,1.0000,-0.0169,-0.3064,0,1,58.76,3.95,1,1,18.04,20.24,18.04,28.69,20.56,19.97,19.50,19.03,18.36,19.58,24.43,24.39,3,
KDC,4/10/2020,15.40,316220.00,-0.0065,0.3244,-0.0941,-0.1676,-0.2568,-0.2909,-0.6306,0.00,0.00,0.00,1.0000,0.0000,-0.0158,-0.1745,4.0000,-0.0514,-0.2636,0,0,56.97,2.88,1,1,14.48,16.24,14.45,20.91,16.09,15.71,15.40,15.09,14.66,15.65,18.19,18.66,0,
LAS,4/10/2020,5.10,25600.00,0.0000,-0.5900,-0.0893,-0.1356,-0.2609,-0.3377,-0.7327,0.00,0.00,0.00,1.0000,0.0000,-0.0304,-0.2048,8.0000,-0.0667,-0.2143,0,0,16.74,0.00,0,1,4.90,5.46,4.96,6.49,5.41,5.29,5.20,5.11,4.97,5.26,5.91,6.41,0,/ndoji_standard
IMP,4/10/2020,48.70,32220.00,-0.0020,-0.6255,-0.1225,-0.2145,-0.2145,-0.2145,-0.3113,1.00,0.00,0.00,1.0000,0.0000,0.0252,-0.0326,3.0000,-0.0507,-0.2356,0,0,66.83,8.87,1,0,40.22,51.30,41.08,63.71,52.02,49.56,47.58,45.59,42.76,47.51,52.42,50.34,0,/ndoji_standard
MBS,4/10/2020,9.40,22200.00,-0.0105,-0.6236,-0.0505,-0.2500,-0.3307,-0.3432,-0.5321,1.00,0.00,0.00,2.0000,0.0000,0.0398,-0.2486,5.0000,-0.0601,-0.3464,0,0,84.44,9.30,0,1,8.03,10.00,7.98,14.38,9.50,9.20,8.95,8.70,8.35,9.04,11.79,12.51,0,
MCH,4/10/2020,66.50,13900.00,-0.0104,-0.4768,-0.0514,-0.0514,-0.1910,-0.2204,-0.2727,2.00,0.00,0.00,1.0000,1.0000,0.1028,-0.0804,2.0000,-0.0760,-0.1180,0,0,88.11,30.84,0,1,50.31,71.97,55.99,75.39,65.67,62.87,60.60,58.33,55.11,60.30,68.17,72.31,0,
